"Story","Title","Result","Date","Stability","Duration (s)"
"Gorest curd info","create user","SUCCESS","2022-06-06T21:49:52.236+01:00[Europe/London]","0.0","7.32"
"Gorest curd info","get single user","SUCCESS","2022-06-06T21:49:59.585+01:00[Europe/London]","0.0","1.75"
"Gorest curd info","update user ","SUCCESS","2022-06-06T21:50:01.337+01:00[Europe/London]","0.0","1.43"
"Gorest curd info","delete single user","SUCCESS","2022-06-06T21:50:02.771+01:00[Europe/London]","0.0","1.97"
